word;origin;notes
ev;Turkish;Bir kimsenin veya ailenin içinde yaşadığı yer
anne;Turkish;Çocuğu olan kadın
baba;Turkish;Çocuğu olan erkek
su;Turkish;"Hidrojenle oksijenden oluşan, sıvı durumunda bulunan, renksiz, kokusuz, tatsız madde; ab."
el;Turkish;Kolun bilekten parmak uçlarına kadar olan, tutmaya ve iş yapmaya yarayan bölümü
ay;Turkish;Dünya'nın uydusu olan gök cismi
gece;Turkish;Akşamdan sonra başlayan ve gün ağarıncaya kadar geçen zaman dilimi
ağaç;Turkish;Meyve verebilen, gövdesi odun veya kereste olmaya elverişli bulunan ve uzun yıllar yaşayabilen bitki
dağ;Turkish;Yer kabuğunun çıkıntılı, yüksek, eğimli yamaçlarıyla çevresine hâkim ve oldukça geniş bir alana yayılan bölümü
orman;Turkish;Ağaçlarla örtülü geniş alan
kuş;Turkish;Yumurtlayan omurgalılardan, akciğerli, sıcakkanlı, vücudu tüylerle örtülü, gagalı, iki ayaklı, iki kanatlı uçucu hayvanların ortak adı
elma;Turkish;Gülgillerden, çiçekleri pembe veya beyaz bir ağaç
ekmek;Turkish;"Tahıl unundan yapılmış hamurun fırında, sacda veya tandırda pişirilmesiyle yapılan yiyecek; nan, "
kitap;Arabic;Ciltli veya ciltsiz olarak bir araya getirilmiş, basılı veya yazılı kâğıt yaprakların bütünü
kalem;Arabic;Yazma, çizme vb. işlerde kullanılan çeşitli biçimlerde araç
okul;Turkish;Her türlü eğitim ve öğretimin toplu olarak yapıldığı yer
şehir;Persian;"Yirmi binden çok nüfusu olan, bu nüfusunun çoğu ticaret, sanayi, hizmet veya yönetimle ilgili işlerle uğraşan, genellikle tarımsal etkinliklerin olmadığı yerleşim alanı; kent"
hayat;Arabic; Canlı, sağ olma durumu.
dünya;Arabic;"İnsanoğlunun üzerinde yaşadığı toprak ve denizlerin tümü; acun, yeryüzü,"
dost;Persian;Sevilen, güvenilen, gönüldaş, iyi anlaşılan kimse
düşman;Persian; Birinin kötülüğünü isteyen, ondan nefret eden, ona zarar vermeye çalışan kimse
otel;French;Yolcu ve turistlere geceleme, konaklama imkânı sağlamak amacıyla kurulmuş işletme
istasyon;French;Tren, metro durağı
salata;Italian;Genellikle marul, maydanoz, soğan, domates gibi çiğ ot ve sebzelerle yapılan, yağ, limon, sirke vb. maddeler konulan, yemeklerle birlikte yenen yiyecek
ekonomi;French;"İnsanların yaşayabilmek için üretme, ürettiklerini bölüşme biçimlerinin ve bu faaliyetlerden doğan ilişkilerin bütünü; iktisat"
fasulye;Greek;Fasulyegillerden, barbunya, çalı, ayşekadın, horoz vb. türleri bulunan bitki
telefon;French;Konuşmaları ileten ve yansıtan düzenek.
futbol;English;"Topu, kafa veya ayak vuruşları ile karşı kaleye sokma kuralına dayanan ve biri kaleci olmak üzere on birer kişilik iki takım arasında oynanan top oyunu; ayak topu"
git;Turkish;Bir yere doğru yönelmek
yaz;Turkish;Söz ve düşünceyi özel işaret veya harflerle anlatmak
ye;Turkish;Yemek yeme, karın doyurma işi
adalet;Arabic;Hak ve hukuka uygunluk, hakkı gözetme
taş;Turkish; Kimyasal veya fiziksel durumu değişiklikler gösteren, rengini içindeki maden, tuz ve oksitlerden alan sert ve katı madde
yol;Turkish;"Karada, havada, suda bir yerden bir yere gitmek için aşılan uzaklık; sırat, tarik."
göz;Turkish;Görme organıdır
cevap;Arabic;Bir soruya, bir isteğe, bir söz, bir davranış veya yazıya verilen karşılık
fikir;Arabic;düşünce
hukuk;Arabic;Toplumu düzenleyen ve devletin yaptırım gücünü belirleyen yasaların bütünü
medeniyet;Arabic;uygarlık
kader;Arabic;yazgı
internet;English;genel ağ
kuaför;French;kadın berberi.
bülbül;Persian;Karatavukgillerden, sesinin güzelliği ile tanınmış olan ötücü kuş
restoran;French; lokanta.
program;French;Belirli şartlara ve düzene göre yapılması öngörülen işlemlerin bütünü
limon;Persian;Turunçgillerden, 3-5 metre yüksekliğinde, kışın yapraklarını dökmeyen, beyaz çiçekli bir ağaç
kimya;Arabic;Maddelerin temel yapılarını, birleşimlerini, dönüşümlerini, çözümleme, birleşim ve üretim yöntemlerini inceleyen bilim.
ilim;Arabic;bilim
çalış;Turkish;Çalmak işi
sor;Turkish;Birine soru yönelterek herhangi bir konuda bilgi istemek
çarşı;Persian;Dükkânların bulunduğu alışveriş yeri
banka;Italian; Faizle para alıp veren, kredi işlemleri yapan kuruluştur.
basketbol;English;Beşer kişilik iki takım arasında topu 3 metre yükseklikteki karşılıklı duran ağ geçirilmiş iki sepetten birine sokup sayı kazanmak esasına dayanan bir oyun
hazine;Arabic; Altın, gümüş, mücevher vb. değerli eşya yığını, büyük servet
makarna;Italian;İrmik veya una yumurta karıştırılarak hazırlanmış türlü biçimlerdeki kuru hamur.
akıl;Arabic; Düşünme, anlama ve kavrama gücü
voleybol;English;Altışar kişilik iki takım arasında, bir alan ortasında gerilmiş olan ağ üzerinden topun karşılıklı olarak elle oynanması oyunu
pencere;Persian;Yapıları veya tren, vapur vb. ulaşım araçlarını aydınlatmak, havalandırmak amacıyla yapılan, çerçeve, cam
kamera;French;Görüntülerin filme alınmasını sağlayan alet
bilet;French;Para ile alınan ve konser, sinema, tiyatro, müze, spor müsabakası vb. eğlence yerlerine girme
opera;Italian;Sözlerinin bütünü veya çoğu şarkılı olarak söylenen müzikli tiyatro eseri
valiz;French;Genellikle yolculukta içine çamaşır vb. eşya konulan küçük el bavulu
rüya;Arabic; düş
market;English;Özellikle her türlü yiyecek maddesi, temizlik malzemesi ile ev, büro vb. yerlere ait gereçlerin satıldığı dükkân
gün;Turkish; Çağ, devir.
toprak;Turkish;Yer kabuğunun, toz durumuna gelmiş türlü kütle kırıntılarıyla, çürümüş organik cisimlerden oluşan ve canlılara yaşama ortamı sağlayan yüzey bölümü
yürek;Turkish; kalp
sonbahar;Persian;Kuzey yarım kürede 24 Eylül-21 Aralık, güney yarım kürede 21 Haziran-23 Eylül tarihleri arasındaki zaman dilimi, yazla kış arasındaki mevsim
kış;Turkish;Kuzey yarım kürede 22 Aralık-21 Mart, güney yarım kürede 21 Haziran-23 Eylül tarihleri arasındaki zaman dilimi, sonbaharla ilkbahar arasındaki soğuk mevsim
deniz;Turkish; Yer kabuğunun çukur bölümlerini kaplayan, birbiriyle bağlantılı, tuzlu su kütlesi
göl;Turkish;Karaların içinde denizlerle bağlantısı olmayan durgun su birikintisi
köy;Persian;Ortak veya özel malları bulunan, nüfusu iki binden aşağı olan, genellikle tarımsal alanda çalışılan, konutları ve öteki yapıları bu hayata uygun yerleşim birimi
insan;Arabic;düşünme ve konuşma yeteneği olan, evreni bütün olarak kavrayabilen, bulguları sonucunda değiştirebilen ve biçimlendirebilen canlı
zaman;Arabic;Bir işin, bir oluşun içinde geçtiği, geçeceği veya geçmekte olduğu süre
matematik;French;Aritmetik, cebir, geometri gibi sayı ve ölçü temeline dayanarak niceliklerin özelliklerini inceleyen bilimlerin ortak adı
ekonomi;French;İnsanların yaşayabilmek için üretme, ürettiklerini bölüşme biçimlerinin ve bu faaliyetlerden doğan ilişkilerin bütünü
cesur;Arabic;cesaretli
gergin;Turkish;Gerilmiş durumda olan
gösterişli;Turkish; cafcaflı, cakalı, hökelekli, fiyakalı, sunturlu, tumturaklı, müşekkel.
pişman;Persian;Yaptığı bir işin veya davranışın olumsuz sonucunu görerek üzülen
öfkeli;Turkish; cinli, hiddetli, pürhiddet
DOĞRU;Turkish;Gerçek, yalan olmayan
harika;Arabic;Yaradılışın ve imkânların üstünde nitelikleriyle insanda hayranlık uyandıran
güzel;Turkish;Göze ve kulağa hoş gelen, hayranlık uyandıran, çirkin karşıtı
popüler;French; Herkesçe tanınan, bilinen
kötü;Turkish;Korku, endişe veren
karanlık;Turkish; Işık olmama durumu
bilgisayar;Turkish;sonuç verilerini belleğinde tutabilen aygıt
sabır;Arabic;Olacak veya gelecek bir şeyi telaş göstermeden bekleme.
sevgisiz;Turkish;Sevgisi olmayan.
şık;French;Güzel, zarif, modaya uygun
suçlu;Turkish;Suç işlemiş, suçu olan 
şaşkın;Turkish;Akılsız, sersem, budala olan
sıkıntı;Turkish;bungun, bunlu, kasavetli
yalnız;Turkish; Yanında başkaları bulunmayan
zalim;Arabic;Acımasız ve haksız davranan, zulmeden
zararlı;Turkish;Zarar veren, zararı dokunan
utangaç;Turkish;rahat konuşamayan ve rahat davranamayan
özgür;Turkish;Herhangi bir kısıtlamaya, zorlamaya, şarta bağlı olmayan
limonata;Italian;Su, şeker ve limon suyundan yapılan şerbet
gül;Persian;Gülgillerin örnek bitkisi (Rosa).
peynir;Persian;Maya ile katılaştırılarak sütten yapılan ve birçok türü olan besin
sözlük;Turkish;Bir dilin bütün zamanlarda veya belli bir çağda kullanılmış kelimelerini, kelime gruplarını deyim ve atasözlerini genellikle alfabe sırasına göre alarak örnek cümlelerle destekleyen eser
televizyon;French;Vericiden iletilen dalgaların görüntü ve ses olarak görünmesini ve duyulmasını sağlayan aygıt
kolye;French;Ucuna süs eşyaları konularak boyna takılan takı
bir;Turkish;Sayıların ilki
ben;Turkish;Teklik birinci kişiyi gösteren söz
sen;Turkish;Teklik ikinci kişiyi gösteren söz.
biz;Turkish;Çokluk birinci kişiyi gösteren söz
siz;Turkish;Çokluk ikinci kişi zamiri.
onlar;Turkish;O şahıs zamirinin çokluk biçimi.
çok;Turkish;ayı, nicelik, değer, güç, derece vb. bakımından büyük ve aşırı olan
ne;Turkish;Hangi şey.
insan;Arabic;"Toplum hâlinde bir kültür çevresinde yaşayan, düşünme ve konuşma yeteneği olan, evreni bütün olarak kavrayabilen, bulguları sonucunda değiştirebilen ve biçimlendirebilen canlı;"
görmek;Turkish;Gözle algılamak, seçmek.
bakmak;Turkish;Bakışı bir şey üzerine çevirmek
vermek;Turkish;Üzerinde, elinde veya yakınında olan bir şeyi birisine eriştirmek
gelmek;Turkish;Ulaşmak, varmak
yıl;Turkish;Dünya'nın, Güneş çevresinde tam bir dolanım yapması için geçen 365 gün, 5 saat ve 49 dakikalık zaman.
çıkmak;Turkish;İçeriden dışarıya varmak, gitmek
büyük;Turkish;Boyutları, benzerlerinden daha fazla olan (somut nesne)
ev;Turkish;Bir kimsenin veya ailenin içinde yaşadığı yer
baş;Turkish;İnsan ve hayvanlarda beyin, göz, kulak, burun, ağız vb. organları kapsayan, vücudun üst veya önünde bulunan bölüm
kol;Turkish;İnsan vücudunda omuz başından parmak uçlarına kadar uzanan bölüm
üçgen;Turkish;Aynı doğrultuda bulunmayan üç noktanın ikişer ikişer birleştirilmesi ile meydana gelen, üç kenarlı ve üç açılı kapalı yüzey
kare;French;Kenarları ve açıları birbirine eşit olan dörtgen
yeni;Turkish;Kullanılmamış veya az kullanılmış olan
eski;Turkish;Çoktan beri var olan, üzerinden çok zaman geçmiş bulunan
önce;Turkish;"İlk olarak, başlangıçta; evvel, sonra karşıtı"
ülke;Turkish;Bir devletin egemenliği altında bulunan toprakların tümü
millet;Arabic;Çoğunlukla aynı topraklar üzerinde yaşayan, aralarında dil, tarih, duygu, ülkü, gelenek ve görenek birliği olan insan topluluğu
düşünmek;Turkish;"Aklından geçirmek, göz önüne getirmek; kurmak"
kız;Turkish;Dişi çocuk
çocuk;Turkish;Bebeklik ile erginlik arasındaki gelişme döneminde bulunan oğlan veya kız
hayat;Arabic;Canlı, sağ olma durumu
sadece;Turkish;"Belirtilenden başkası bulunmadan; yalnız"
fazla;Arabic;Gereğinden, alışılmıştan çok, aşırı olan
yüzde;Turkish;Herhangi bir işte aracı olan kimseye, görevinin karşılığı olarak belli bir hesaba göre verilen ücret
toplama;Turkish;Sayıları veya nicelikleri birbirine ekleyip toplamını bulmak için başvurulan işlem
çıkarma;Turkish;Bir sayıyı başka bir sayı kadar eksiltmek için başvurulan işle
çarpma;Turkish;"Biri çarpılan, öbürü çarpan denilen iki sayı verildiğinde çarpanı çarpılandaki birim kadar çoğaltarak ""çarpım"" adı verilen bir üçüncü sayıyı elde etmek için başvurulan işlem"
bölme;Turkish;Bir sayının içinde başka bir sayının kaç defa bulunduğunu belirlemek için başvurulan işlem
sevmek;Turkish;Sevgi ve bağlılık duymak
gece;Turkish;Akşamdan sonra başlayan ve gün ağarıncaya kadar geçen zaman dilimi
akşam;Turkish;Güneşin batmasına yakın zamandan gecenin başlamasına kadar geçen zaman dilimi
beklemek;Turkish;Bir iş oluncaya, biri gelinceye değin bir yerde kalmak
özellik;Turkish;Bir şeyin benzerlerinden veya başka şeylerden ayrılmasını sağlayan nitelik
yüksek;Turkish;Belirli bir yere göre daha yukarıda bulunan
hava;Arabic; Canlılar üzerindeki etkisine göre hava yuvarının durumu
gökyüzü;Turkish;Atmosferin gözle görünen bölümü
madde;Arabic;Duyularla algılanabilen nesne
araç;Turkish;taşıt
kamyon;French;Motorlu büyük yük taşıtı
traktör;French;Arkasına römork takılabilen, çift sürmek, yük taşımak vb. işlerde kullanılan motorlu iş makinesi
Allah;Arabic;kâinattaki her şeyi yaratan ve idare eden tek yüce varlık
kazanmak;Turkish;Olumlu, iyi bir sonuç elde etmek
dil;Turkish;tat alma organı
yabancı;Turkish;Başka bir milletten olan, başka devlet uyruğunda olan (kimse)
öğrenmek;Turkish; Bilgi edinmek
renk;Persian; Cisimler tarafından yansılanan ışığın gözde oluşturduğu duyum
mavi;Arabic;Yeşil ile mor arasında bir renk, bulutsuz gökyüzünün rengi
sarı;Turkish; Yeşil ile turuncu arasında bir renk, limon kabuğu rengi.
yeşil;Turkish; Sarı ile mavinin karışımından ortaya çıkan, bitki yapraklarının çoğunda görülen renk
beyaz;Arabic;Ak, kara ve siyah karşıtı.
eğitim;Turkish;Çocukların ve gençlerin toplum yaşayışında yerlerini almaları için gerekli bilgi
öğretmen;Turkish;Mesleği bilgi öğretmek olan kimse
öğrenci;Turkish;Öğrenim görmek amacıyla ders alan kimse
